"speech"	"bigram"	"n"	"tf"	"idf"	"tf_idf"
"1"	"22"	"everyone's out"	4	0.0303030303030303	4.21950770517611	0.127863869853821
"2"	"22"	"in merry"	3	0.0227272727272727	4.21950770517611	0.0958979023903661
"3"	"22"	"manhattan in"	3	0.0227272727272727	4.21950770517611	0.0958979023903661
"4"	"22"	"merry manhattan"	3	0.0227272727272727	4.21950770517611	0.0958979023903661
"5"	"22"	"in january"	3	0.0227272727272727	3.120895416508	0.0709294412842727
"6"	"22"	"halter top"	2	0.0151515151515152	4.21950770517611	0.0639319349269107
"7"	"22"	"have my"	2	0.0151515151515152	4.21950770517611	0.0639319349269107
"8"	"22"	"my halter"	2	0.0151515151515152	4.21950770517611	0.0639319349269107
"9"	"22"	"top on"	2	0.0151515151515152	4.21950770517611	0.0639319349269107
"10"	"67"	"global commons"	20	0.0134680134680135	3.52636052461616	0.0474930710386015
"11"	"22"	"out in"	3	0.0227272727272727	1.91692261218206	0.0435664230041378
"12"	"22"	"did you"	2	0.0151515151515152	2.61006979274201	0.0395465120112425
"13"	"12"	"black holes"	27	0.00915564598168871	4.21950770517611	0.0386323187656002
"14"	"27"	"an iceberg"	4	0.00911161731207289	3.52636052461616	0.0321308476047031
"15"	"65"	"weather data"	5	0.00758725341426404	4.21950770517611	0.0320144742426108
"16"	"22"	"a glorious"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"17"	"22"	"and dogwoods"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"18"	"22"	"and frisbees"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"19"	"22"	"and lonely"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"20"	"22"	"and lovers"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"21"	"22"	"and roller"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"22"	"22"	"and well"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"23"	"22"	"anderson jill"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"24"	"22"	"bloom oh"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"25"	"22"	"brought the"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"26"	"22"	"bug spray"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"27"	"22"	"cares it's"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"28"	"22"	"central park"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"29"	"22"	"daisies and"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"30"	"22"	"dogwoods are"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"31"	"22"	"everyone whistling"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"32"	"22"	"fed everyone's"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"33"	"22"	"flies are"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"34"	"22"	"for picnics"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"35"	"22"	"frisbees and"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"36"	"22"	"gators looking"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"37"	"22"	"head next"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"38"	"22"	"iced tea"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"39"	"22"	"in bloom"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"40"	"22"	"it's winter"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"41"	"22"	"january applause"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"42"	"22"	"january laughter"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"43"	"22"	"january whistling"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"44"	"22"	"jill sobule"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"45"	"22"	"laughter my"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"46"	"22"	"lonely sunbathers"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"47"	"22"	"looking happy"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
"48"	"22"	"lovers and"	1	0.00757575757575758	4.21950770517611	0.0319659674634554
